Product Name;Lowest Price;Promo Price @ FPT;Promo Price @ FPT + VNPay;Promo Price @ MW;Promo Price @ MW + VNPay;Promo Price @ TopZone;Promo Price @ TZ + VNPay;Promo Price @ VT;Promo Price @ VT + VNPay;Promo Price @ SD;Promo Price @ SD + VNPay;Promo Price @ HH;Promo Price @ HH + VNPay;Promo Price @ DDV;Promo Price @ CPS;Promo Price @ CPS + VNPAY;Promo Price @ Tiki;Promo Price @ Shopee;Stock @ FPT;Stock @ MW;Stock @ TopZone;Stock @ VT;Stock @ SD;Stock @ HH;Stock @ DDV;Stock @ CPS;Stock @ Tiki;Stock @ Shopee;Date
iPhone 12 Pro 256GB;24.990.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;26.950.000;26.950.000;not trading;not trading;not trading;24.990.000;;not trading;not trading;not trading;not trading;No;No;Yes;not trading;not trading;Yes;not trading;not trading;2022-08-01
iPhone 12 Pro 512GB;25.990.000;not trading;not trading;not trading;not trading;26490000;25990000;temporary OOS;temporary OOS;28.950.000;28.950.000;not trading;not trading;28.490.000;27.500.000;;not trading;not trading;not trading;not trading;Yes;No;Yes;not trading;No;No;not trading;not trading;2022-08-01
iPhone 12 64GB;15.140.000;17.499.000;16.999.000;17.790.000;17.790.000;16.990.000;16.490.000;17.490.000;16.615.500;14.990.000;14.990.000;15.390.000;15.140.000;15.790.000;15.990.000;;15.720.000;24.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-01
iPhone 12 128GB;17.090.000;19.999.000;19.499.000;19.990.000;19.490.000;18.690.000;18.190.000;19.190.000;18.230.500;17.590.000;17.090.000;17.590.000;17.340.000;18.290.000;17.990.000;;17.780.000;not trading;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPhone 12 mini 64GB;14.490.000;16.999.000;16.499.000;14.990.000;14.990.000;14.990.000;14.490.000;temporary OOS;temporary OOS;not trading;not trading;14.990.000;14.740.000;14.990.000;15.000.000;;not trading;not trading;No;No;Yes;No;not trading;Yes;No;No;not trading;not trading;2022-08-01
iPhone 12 mini 128GB;15.740.000;20.999.000;20.999.000;16.490.000;15.990.000;16.490.000;15.990.000;temporary OOS;temporary OOS;not trading;not trading;15.990.000;15.740.000;17.590.000;16.000.000;;not trading;not trading;No;Yes;Yes;No;not trading;Yes;No;No;not trading;not trading;2022-08-01
iPhone 11 64GB;10.340.000;11.999.000;11.499.000;12.290.000;12.290.000;10.990.000;10.490.000;10.990.000;10.490.000;10.590.000;10.490.000;10.590.000;10.340.000;10.790.000;10.790.000;;10.880.000;21.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-01
iPhone 11 128GB;11.990.000;13.999.000;13.499.000;14.290.000;14.290.000;13.590.000;13.090.000;12.490.000;11.990.000;12.290.000;12.190.000;12.290.000;12.040.000;13.290.000;12.990.000;;12.600.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPhone SE 2022 64GB;9.740.000;11.990.000;11.490.000;12.790.000;12.790.000;11.590.000;11.090.000;11.990.000;11.390.500;10.990.000;10.990.000;9.990.000;9.740.000;10.290.000;10.290.000;;12.990.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
iPhone SE 2022 128GB;10.740.000;12.990.000;12.490.000;13.790.000;13.790.000;12.490.000;11.990.000;temporary OOS;temporary OOS;11.990.000;11.990.000;10.990.000;10.740.000;11.990.000;11.990.000;;12.850.000;not trading;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-01
