Product_Name;Color;Ton_Kho;Store_Count;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Thanh_Toan;Other_promotion;Link;screenshot_name
MacBook Pro 2025 14 inch M5 10‑core CPU | 10‑core GPU 16GB/512GB Chính Hãng;Default;Yes;0;41990000;40290000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/macbook-pro-2025-14-inch-m5-10core-cpu-10core-gpu-16gb-512gb.html;
iPhone 14 256GB Chính Hãng (VN/A);Default;No;0;27990000;16990000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-14-256gb.html;
MacBook Air M4 13-inch 16GB/512GB Chính Hãng;Default;Yes;0;31990000;29390000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-512gb.html;
Mac mini M4 10‑Core CPU | 10‑Core GPU 16GB/512GB Chính Hãng;Default;No;0;27490000;26990000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/mac-mini-m4-10core-cpu-10core-gpu-16gb-512gb.html;
MacBook Pro M3 Pro 16 inch 18GB/512GB Chính Hãng;Default;Yes;0;64990000;64080000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/macbook-pro-m3-pro-16-inch-2023-512gb.html;
MacBook Air M4 13-inch 24GB/512GB Chính Hãng;Default;Yes;0;36990000;32390000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-24gb-512gb.html;
MacBook Air M2 2024 13-inch 16GB/256GB Chính Hãng;Default;Yes;0;24990000;16990000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/macbook-air-m2-2024-13-inch-16gb-256gb.html;
iPhone 14 128GB Chính hãng (VN/A);Default;No;0;15990000;13990000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-14-128gb.html;
MacBook Air M4 13-inch 16GB/256GB Chính Hãng;Default;Yes;0;26990000;24990000;2026-07-28;;;;https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-256gb.html;
iPhone 13 128GB Chính Hãng (VN/A);Default;No;0;13990000;11990000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-13-128gb.html;
iPhone 16 128GB Chính Hãng (VN/A);Default;Yes;0;22990000;20490000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-16-128gb.html;
iPhone 16 Pro Max 1TB Chính Hãng (VN/A);Default;Yes;0;46990000;42590000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-16-pro-max-1tb.html;
iPhone 15 256GB Chính hãng (VN/A);Default;No;0;25990000;20590000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-15-256gb.html;
iPhone 15 128GB Chính hãng (VN/A);Default;Yes;0;24990000;17790000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-15-128gb.html;
iPhone 16 Plus 128GB Chính hãng (VN/A);Default;No;0;25990000;23890000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-16-plus-128gb.html;
iPhone 17 Pro 1TB Chính Hãng;Default;Yes;0;47990000;44590000;2026-07-28;;;;https://didongviet.vn/dien-thoai/iphone-17-pro-1tb.html;
