date,retailer,product_key,product_name,category,variant_color,variant_storage,variant_size,variant_connectivity,band,price,stock,url,original_name,method
2026-02-03,Viettel Store,iphone_13,iPhone 13 256GB,iPhone,Unknown,256GB,,,,18490000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html,iPhone 13 256GB,smart_match
2026-02-03,Viettel Store,iphone_14,iPhone 14 512GB,iPhone,Unknown,512GB,,,,24990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-14-512gb-pid293823.html,iPhone 14 512GB,smart_match
2026-02-03,Viettel Store,iphone_13,iPhone 13 256GB,iPhone,Unknown,256GB,,,,18490000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html,iPhone 13 256GB,smart_match
2026-02-03,Viettel Store,iphone_14,iPhone 14 512GB,iPhone,Unknown,512GB,,,,24990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-14-512gb-pid293823.html,iPhone 14 512GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 512GB Hồng,iPhone,Hồng,512GB,,,,27990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html,iPhone 15 512GB,smart_match
2026-02-03,Viettel Store,iphone_14,iPhone 14 128GB,iPhone,Unknown,128GB,,,,13590000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-14-128gb-pid293821.html,iPhone 14 128GB,smart_match
2026-02-03,Viettel Store,iphone_16_plus,iPhone 16 Plus 256GB,iPhone,Unknown,256GB,,,,26290000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-plus-256gb-pid339619.html,iPhone 16 Plus 256GB,smart_match
2026-02-03,Viettel Store,iphone_13,iPhone 13 256GB,iPhone,Unknown,256GB,,,,18490000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-13-256gb-pid288661.html,iPhone 13 256GB,smart_match
2026-02-03,Viettel Store,iphone_16,iPhone 16 128GB,iPhone,Unknown,128GB,,,,19690000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-128gb-pid339614.html,iPhone 16 128GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 128GB,iPhone,Unknown,128GB,,,,16690000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-128gb-pid317053.html,iPhone 15 128GB,smart_match
2026-02-03,Viettel Store,iphone_14,iPhone 14 256GB,iPhone,Unknown,256GB,,,,16290000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-14-256gb-pid293822.html,iPhone 14 256GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 512GB Vàng,iPhone,Vàng,512GB,,,,27990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html,iPhone 15 512GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 512GB Xanh Lá,iPhone,Xanh Lá,512GB,,,,27990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html,iPhone 15 512GB,smart_match
2026-02-03,Viettel Store,iphone_13,iPhone 13 128GB,iPhone,Unknown,128GB,,,,12090000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html,iPhone 13 128GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 512GB,iPhone,Unknown,512GB,,,,27990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html,iPhone 15 512GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 256GB Hồng,iPhone,Hồng,256GB,,,,19990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-256gb-pid317054.html,iPhone 15 256GB,smart_match
2026-02-03,Viettel Store,iphone_13,iPhone 13 128GB,iPhone,Unknown,128GB,,,,12090000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-13-128gb-pid288660.html,iPhone 13 128GB,smart_match
2026-02-03,Viettel Store,iphone_15,iPhone 15 512GB Xanh Dương,iPhone,Xanh Dương,512GB,,,,27990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-15-512gb-pid317055.html,iPhone 15 512GB,smart_match
2026-02-03,Viettel Store,iphone_16_pro_max,iPhone 16 Pro Max 1TB Titan Tự Nhiên,iPhone,Titan Tự Nhiên,1TB,,,,48490000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-pro-max-1tb-pid339632.html,iPhone 16 Pro Max 1TB,smart_match
2026-02-03,Viettel Store,iphone_16_pro_max,iPhone 16 Pro Max 512GB Titan Tự Nhiên,iPhone,Titan Tự Nhiên,512GB,,,,36490000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-pro-max-512gb-pid339631.html,iPhone 16 Pro Max 512GB,smart_match
2026-02-03,Viettel Store,iphone_16_pro_max,iPhone 16 Pro Max 256GB,iPhone,Unknown,256GB,,,,30890000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-pro-max-pid339630.html,iPhone 16 Pro Max 256GB,smart_match
2026-02-03,Viettel Store,iphone_16_pro,iPhone 16 Pro 128GB Titan Tự Nhiên,iPhone,Titan Tự Nhiên,128GB,,,,24990000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-pro-pid339623.html,iPhone 16 Pro 128GB,smart_match
2026-02-03,Viettel Store,iphone_16_pro_max,iPhone 16 Pro Max 1TB,iPhone,Unknown,1TB,,,,48490000.0,Yes,https://viettelstore.vn/dien-thoai/iphone-16-pro-max-1tb-pid339632.html,iPhone 16 Pro Max 1TB,smart_match
