retailer,original_name,original_specs,price,stock,url
Viettel Store,Apple Watch SE 2 Cellular 40mm Sport Band S/M,,4490000.0,No,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-cellular-40mm-sport-band-s-m-pid347394.html
Viettel Store,Apple Watch SE 2 Cellular 40mm Sport Band S/M,,4490000.0,No,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-cellular-40mm-sport-band-s-m-pid347394.html
Viettel Store,Apple Watch SE 2 GPS 40mm Sport Loop,,4290000.0,No,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-gps-40mm-sport-loop-pid347391.html
Viettel Store,Apple Watch SE 2 Cellular 44mm Sport Loop,,4490000.0,No,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-cellular-44mm-sport-loop-pid347397.html
Viettel Store,Apple Watch SE 2 GPS 40mm Sport Band S/M,,4690000.0,No,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-gps-40mm-sport-band-s-m-pid347390.html
Viettel Store,Apple Watch SE 2 GPS 44mm Sport Loop,,3490000.0,No,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-gps-44mm-sport-loop-pid347393.html
Viettel Store,Apple Watch SE 2 GPS 40mm Sport Loop,,4290000.0,Yes,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-se-2-gps-40mm-sport-loop-pid347391.html
Viettel Store,Apple Watch Series 10 GPS 42mm Dây Cao Su S/M,,7990000.0,Yes,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-series-10-gps-42mm-day-cao-su-s-m-pid340025.html
Viettel Store,Apple Watch Series 10 GPS 42mm Dây Vải,,7990000.0,Yes,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-series-10-gps-42mm-day-vai-pid340026.html
Viettel Store,Apple Watch Series 10 GPS 42mm Dây Cao Su S/M,,7990000.0,Yes,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-series-10-gps-42mm-day-cao-su-s-m-pid340025.html
Viettel Store,Apple Watch Series 10 GPS 42mm Dây Vải,,7990000.0,Yes,https://viettelstore.vn/dong-ho-thong-minh/apple-watch-series-10-gps-42mm-day-vai-pid340026.html
