SKU,Days_Tracked,First_Price_Avg,Last_Price_Avg,Change_Pct,Volatility,Min_Price_Seen,Max_Price_Seen
Apple Watch Series 10 GPS 46mm Viền nhôm Dây cao su cỡ M/L - Đen Bóng,5,11815000.0,10330000.0,-12.57,766050.06,9690000.0,12190000.0
Apple Watch Series 10 GPS 46mm Viền nhôm Dây cao su cỡ S/M - Bạc,6,11540000.0,11666666.666666666,1.1,716620.98,9290000.0,19490000.0
Apple Watch Series 10 GPS 46mm Viền nhôm Dây cao su cỡ S/M - Vàng hồng,6,11865000.0,11910000.0,0.38,743602.16,9690000.0,19490000.0
Apple Watch Series 10 GPS 46mm Viền nhôm Dây cao su cỡ S/M - Đen Bóng,6,11815000.0,11810000.0,-0.04,745811.08,9690000.0,19490000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền nhôm dây cao su - Phớt hồng,10,13102000.0,12490000.0,-4.67,944038.75,0.0,19990000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền nhôm dây cao su - Size S/M,36,12665000.0,11890000.0,-6.12,667946.81,8990000.0,19490000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền nhôm dây cao su - Tím sương khói,10,10750000.0,10241666.666666666,-4.73,1004560.22,0.0,19990000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền nhôm dây cao su - Đen,25,10162000.0,10525000.0,3.57,1275350.61,0.0,19990000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền titan dây Milan - Free size,8,16200000.0,19590000.0,20.93,1754491.68,10250000.0,19790000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền titan dây Milan - Tự nhiên,11,16182000.0,15106666.666666666,-6.65,797937.7,8690000.0,20990000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền titan dây Milan - Vàng,10,16182000.0,15173333.333333334,-6.23,670135.31,8690000.0,20990000.0
Apple Watch Series 11 GPS + Cellular 42mm Viền titan dây Milan - Xám,3,13922000.0,14700000.0,5.59,504224.96,8690000.0,20990000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền nhôm dây cao su - Phớt hồng,6,11222000.0,10625000.0,-5.32,1115570.6,0.0,19990000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền nhôm dây cao su - Size M/L,38,13665000.0,12940000.0,-5.31,819609.8,8990000.0,19490000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền nhôm dây cao su - Size S/M,38,13665000.0,12840000.0,-6.04,1400514.15,0.0,19490000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền nhôm dây cao su - Tím sương khói,10,11334000.0,12673333.333333334,11.82,895497.58,0.0,19990000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền nhôm dây cao su - Đen,26,13282000.0,12673333.333333334,-4.58,1049869.57,0.0,19990000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền titan dây Milan - Size M/L,8,17283333.333333332,19690000.0,13.92,1285764.55,9990000.0,21990000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền titan dây Milan - Size S/M,8,15400000.0,19690000.0,27.86,2266215.6,9690000.0,21990000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền titan dây Milan - Tự nhiên,23,16222000.0,15156666.666666666,-6.57,851191.04,9490000.0,21490000.0
Apple Watch Series 11 GPS + Cellular 46mm Viền titan dây Milan - Vàng,16,15600000.0,15123333.333333334,-3.06,658062.41,9490000.0,21490000.0
Apple Watch Series 11 GPS 42mm Viền nhôm dây cao su - Phớt hồng,9,11822000.0,11656666.666666666,-1.4,899094.3,8690000.0,19990000.0
Apple Watch Series 11 GPS 42mm Viền nhôm dây cao su - Size S/M,40,10965000.0,9290000.0,-15.28,819234.44,8990000.0,19490000.0
Apple Watch Series 11 GPS 42mm Viền nhôm dây cao su - Tím sương khói,15,11530000.0,11240000.0,-2.52,543385.14,8690000.0,19490000.0
Apple Watch Series 11 GPS 42mm Viền nhôm dây cao su - Đen,18,11362000.0,9825000.0,-13.53,840395.62,0.0,19990000.0
Apple Watch Series 11 GPS 46mm Viền nhôm dây cao su - Phớt hồng,9,12042000.0,11706666.666666666,-2.78,811561.25,9490000.0,19490000.0
Apple Watch Series 11 GPS 46mm Viền nhôm dây cao su - Size M/L,39,12090000.0,9940000.0,-17.78,896996.29,8990000.0,19490000.0
Apple Watch Series 11 GPS 46mm Viền nhôm dây cao su - Size S/M,39,12065000.0,9640000.0,-20.1,936139.99,8990000.0,19490000.0
