Product_Name;Color;Ton_Kho;Gia_Niem_Yet;Gia_Khuyen_Mai;Date;Khuyen_Mai;Uu_Dai_Them;Link;screenshot_name
iPhone 15 Plus 128GB;Vàng nhạt;Yes;21990000;19590000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Apple Watch trị giá 1,000,000đ
2
Tặng phiếu mua hàng Macbook trị giá 700,000đ
3
Tặng phiếu mua hàng AirPods trị giá 500,000đ
4
Tặng Phiếu mua hàng mua sạc dự phòng (trừ AVA+, Hydrus); đồng hồ thông minh (trừ Apple); Tai nghe bluetooth và Loa bluetooth các hãng JBL, Marshall,Harman Kardon; Ốp lưng (trừ Apple) trị giá 100.000đ
5
Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
6
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
7
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-15-plus;iPhone_15_Plus_128GB_2025-12-08_10-22-44.png
iPhone 16 Plus 128GB;Trắng;Yes;25990000;25090000soc;2025-12-08;"Khuyến mãi
Giá và khuyến mãi có thể kết thúc sớm hơn dự kiến
1
Tặng phiếu mua hàng Apple Watch trị giá 1,000,000đ
2
Tặng phiếu mua hàng Macbook trị giá 700,000đ
3
Tặng phiếu mua hàng AirPods trị giá 500,000đ
4
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
5
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-16-plus;iPhone_16_Plus_128GB_2025-12-08_10-22-48.png
iPhone 16 Pro 128GB;Titan Sa Mạc;Yes;27990000;25590000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Tặng phiếu mua hàng Apple Watch trị giá 1,000,000đ
2
Tặng phiếu mua hàng Macbook trị giá 700,000đ
3
Tặng phiếu mua hàng AirPods trị giá 500,000đ
4
Tặng Phiếu mua hàng mua sạc dự phòng (trừ AVA+, Hydrus); đồng hồ thông minh (trừ Apple); Tai nghe bluetooth và Loa bluetooth các hãng JBL, Marshall,Harman Kardon; Ốp lưng (trừ Apple) trị giá 100.000đ
5
Thu cũ đổi mới: Giảm đến 2,000,000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
6
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
7
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dtdd/iphone-16-pro;iPhone_16_Pro_128GB_2025-12-08_10-22-52.png
Apple Watch Series 11 GPS 46mm viền nhôm dây thể thao;Vàng Hồng;Yes;12350000;11790000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-46mm-vien-nhom-day-the-thao;Apple_Watch_Series_11_GPS_46mm_viền_nhôm_dây_thể_thao_2025-12-08_10-22-53.png
Apple Watch Series 11 GPS 42mm viền nhôm dây thể thao;Vàng Hồng;Yes;11490000;10690000soc;2025-12-08;"Khuyến mãi
Giá và khuyến mãi có thể kết thúc sớm hơn dự kiến
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-42mm-vien-nhom-day-the-thao;Apple_Watch_Series_11_GPS_42mm_viền_nhôm_dây_thể_thao_2025-12-08_10-22-57.png
Apple Watch Series 11 GPS + Cellular 42mm viền Titanium dây Milan;Titan xám;Yes;22490000;22090000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-titanium-day-milan;Apple_Watch_Series_11_GPS___Cellular_42mm_viền_Titanium_dây_Milan_2025-12-08_10-22-58.png
Apple Watch Series 11 GPS + Cellular 42mm viền nhôm dây thể thao;Bạc;Yes;14490000;14190000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42mm-vien-nhom-day-the-thao;Apple_Watch_Series_11_GPS___Cellular_42mm_viền_nhôm_dây_thể_thao_2025-12-08_10-23-06.png
Apple Watch Series 11 GPS + Cellular 42m viền Titanium dây thể thao;Titan vàng;Yes;20990000;20290000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-42m-vien-titanium-day-the-thao;Apple_Watch_Series_11_GPS___Cellular_42m_viền_Titanium_dây_thể_thao_2025-12-08_10-23-06.png
Apple Watch Series 11 GPS + Cellular 46mm viền nhôm dây thể thao;Xám;Yes;15350000;14990000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-46mm-vien-nhom-day-the-thao;Apple_Watch_Series_11_GPS___Cellular_46mm_viền_nhôm_dây_thể_thao_2025-12-08_10-23-07.png
Apple Watch Series 11 GPS + Cellular 46mm viền Titanium dây Milan;Titan vàng;Yes;23990000;23590000;2025-12-08;"Khuyến mãi
Giá và khuyến mãi dự kiến áp dụng đến 23:00 | 31/12
1
Thu cũ Đổi mới: Giảm thêm đến 300.000đ (Không kèm ưu đãi thanh toán qua cổng, mua kèm) Xem chi tiết
2
Trả chậm 0% lãi suất. Đặc biệt giảm đến 10% tối đa 5 triệu khi thanh toán qua Kredivo (Xem chi tiết tại đây)
3
Nhận ngay 200.000đ hoàn tiền khi mở thẻ tín dụng TPBank EVO và chi tiêu từ 1 triệu đồng (Xem chi tiết tại đây)";;https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-series-11-gps-cellular-46mm-vien-titanium-day-milan;Apple_Watch_Series_11_GPS___Cellular_46mm_viền_Titanium_dây_Milan_2025-12-08_10-23-07.png
