retailer,original_name,original_specs,product_key,product_name,category,variant_storage,variant_color,price,stock,url
Di Động Việt,MacBook Air M4 13-inch 16GB/512GB Chính Hãng,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Bạc 512gb 16GB,Mac,512gb,Bạc,28690000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-512gb.html
Di Động Việt,MacBook Air M4 13-inch 16GB/256GB Chính Hãng,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,23790000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-256gb.html
Di Động Việt,iPhone 13 128GB Chính Hãng (VN/A),,iphone_13,iPhone 13 128gb,iPhone,128gb,Trắng,11990000.0,Yes,https://didongviet.vn/dien-thoai/iphone-13-128gb.html
Di Động Việt,iPhone 14 128GB Chính hãng (VN/A),,iphone_14,iPhone 14 128gb,iPhone,128gb,Trắng,13490000.0,Yes,https://didongviet.vn/dien-thoai/iphone-14-128gb.html
Di Động Việt,MacBook Air M4 13-inch 16GB/512GB Chính Hãng,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 16GB,Mac,512gb,Xanh Da Trời,28690000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-512gb.html
Di Động Việt,iPhone 15 128GB Chính hãng (VN/A),,iphone_15,iPhone 15 Hồng 128gb,iPhone,128gb,Hồng,16590000.0,Yes,https://didongviet.vn/dien-thoai/iphone-15-128gb.html
Di Động Việt,MacBook Air M4 13-inch 24GB/512GB Chính Hãng,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 512gb 24GB,Mac,512gb,Xanh Da Trời,32390000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-24gb-512gb.html
Di Động Việt,MacBook Air M4 13-inch 16GB/256GB Chính Hãng,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Xanh Da Trời 256gb 16GB,Mac,256gb,Xanh Da Trời,23790000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-256gb.html
Di Động Việt,iPhone 15 128GB Chính hãng (VN/A),,iphone_15,iPhone 15 Xanh Dương 128gb,iPhone,128gb,Xanh Dương,16690000.0,Yes,https://didongviet.vn/dien-thoai/iphone-15-128gb.html
Di Động Việt,MacBook Air M4 13-inch 16GB/512GB Chính Hãng,,macbook_air_13_inch_m4,MacBook Air 13 inch (M4) Ánh Sao 512gb 16GB,Mac,512gb,Ánh Sao,28690000.0,Yes,https://didongviet.vn/apple-macbook-imac/macbook-air-m4-13-inch-16gb-512gb.html
Di Động Việt,iPhone 15 256GB Chính hãng (VN/A),,iphone_15,iPhone 15 Xanh Dương 256gb,iPhone,256gb,Xanh Dương,19890000.0,Yes,https://didongviet.vn/dien-thoai/iphone-15-256gb.html
Di Động Việt,iPhone 16 Plus 256GB Chính hãng (VN/A),,iphone_16_plus,iPhone 16 Plus 256gb,iPhone,256gb,Default,26390000.0,Yes,https://didongviet.vn/dien-thoai/iphone-16-plus-256gb.html
Di Động Việt,iPhone 15 256GB Chính hãng (VN/A),,iphone_15,iPhone 15 Hồng 256gb,iPhone,256gb,Hồng,19990000.0,Yes,https://didongviet.vn/dien-thoai/iphone-15-256gb.html
Di Động Việt,iPhone 16 Plus 128GB Chính hãng (VN/A),,iphone_16_plus,iPhone 16 Plus 128gb,iPhone,128gb,Đen,23590000.0,Yes,https://didongviet.vn/dien-thoai/iphone-16-plus-128gb.html
Di Động Việt,iPhone 16 128GB Chính Hãng (VN/A),,iphone_16,iPhone 16 Xanh Lưu Ly 128gb,iPhone,128gb,Xanh Lưu Ly,19490000.0,Yes,https://didongviet.vn/dien-thoai/iphone-16-128gb.html
Di Động Việt,iPhone 16 Pro Max 1TB Chính Hãng (VN/A),,iphone_16_pro_max,iPhone 16 Pro Max Titan Sa Mạc 1tb,iPhone,1tb,Titan Sa Mạc,42590000.0,Yes,https://didongviet.vn/dien-thoai/iphone-16-pro-max-1tb.html
Di Động Việt,iPhone 16e 128GB Chính Hãng (VN/A),,iphone_16e,iPhone 16e 128gb,iPhone,128gb,Default,15190000.0,Yes,https://didongviet.vn/dien-thoai/iphone-16e.html
